application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
22/02403/HSE,Cardiff,,Withdrawn - Appeal against non-determine,2,12037,False,True,6,noise; design_scale_siting; permitted_development; neighbour_amenity; policy_general; flood_drainage
22/02405/FULLN,Test Valley,,WITHDRAWN,1,2126,False,True,0,
22/02589/FUL,Oxford,,Application Withdrawn,3,29986,False,True,3,policy_general; trees_landscaping; flat_apartment
22/02726/FULLS,Test Valley,,WITHDRAWN,1,2103,False,True,0,
22/02898/NMA,Sheffield,,Withdrawn,2,4144,False,True,5,visual_amenity; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity
22/03142/FUL,Lambeth,,Application Withdrawn,1,1691,False,True,0,
22/03368/CLP,Leeds,,Withdrawn,1,1309,False,True,2,noise; flat_apartment
22/03369/CLP,Leeds,,Withdrawn,1,1322,False,True,2,noise; flat_apartment
22/03840/FUL,Lambeth,,Application Withdrawn,1,2024,False,True,0,
22/03888/FULL,Fife,,Application Withdrawn,2,13176,False,True,1,noise
22/04043/CLP,Leeds,,Withdrawn,1,838,False,True,0,
22/04251/FUL,Edinburgh,,withdrawn,4,8303,False,True,1,design_scale_siting
22/04304/HFUL,Cambridge,,Withdrawn,3,10450,False,True,3,noise; design_scale_siting; flat_apartment
22/04676/NMA1,South Cambridgeshire,,Withdrawn,5,15645,False,True,2,design_scale_siting; flat_apartment
22/04676/NMA2,South Cambridgeshire,,Withdrawn,5,16569,False,True,2,design_scale_siting; flat_apartment
22/05338/NMA2,South Cambridgeshire,,Withdrawn,2,6851,False,True,1,design_scale_siting
22/0770/SD,Greenwich,,Withdrawn,1,2569,False,True,0,
22/1737/FUL,Barnet,,Withdrawn,1,1538,False,True,0,
22/2328/FUL,Three Rivers,,withdrawn,1,1706,False,True,0,
22/3286,Brent,,Withdrawn by Applicant,1,1921,False,True,1,policy_general
22/3616/HD,Greenwich,,Withdrawn,1,2917,False,True,0,
22/5789/HSE,Barnet,,Withdrawn,1,1154,False,True,0,
22/AP/2290,Southwark,,Application Withdrawn,5,33734,False,True,3,design_scale_siting; policy_general; flat_apartment
22/AP/2406,Southwark,,Application Withdrawn,2,13847,False,True,4,visual_amenity; noise; permitted_development; policy_general
22/AP/2509,Southwark,,Application Withdrawn,4,25109,False,True,2,design_scale_siting; policy_general
22/AP/4231,Southwark,,Application Withdrawn,1,4663,False,True,4,noise; permitted_development; policy_general; flat_apartment
